Latitude (decimal degrees):	49.418
Longitude (decimal degrees):	2.824
Elevation (m):	42
Radiation database:	PVGIS-SARAH3


Slope: 37 deg. (optimum)
Azimuth: -3 deg. (optimum)
Nominal power of the PV system (c-Si) (kWp):	1.0
System losses (%):	14.0
time,P,G(i),H_sun,T2m,WS10m,Int
20220101:0010,0.0,0.0,0.0,10.99,2.55,0.0
20220101:0110,0.0,0.0,0.0,11.01,2.41,0.0
20220101:0210,0.0,0.0,0.0,11.09,2.21,0.0
20220101:0310,0.0,0.0,0.0,11.05,2.14,0.0
20220101:0410,0.0,0.0,0.0,10.8,2.34,0.0
20220101:0510,0.0,0.0,0.0,10.59,2.69,0.0
20220101:0610,0.0,0.0,0.0,10.35,2.97,0.0
20220101:0710,0.0,0.0,0.0,11.01,2.97,0.0
20220101:0810,1.22,8.58,2.52,10.64,3.31,0.0
20220101:0910,339.88,402.87,9.19,10.71,3.52,0.0
20220101:1010,338.41,400.87,14.15,11.38,3.66,0.0
20220101:1110,573.04,684.81,16.99,12.42,3.59,0.0
20220101:1210,557.26,668.66,17.45,13.48,3.59,0.0
20220101:1310,432.96,518.25,15.48,14.0,3.52,0.0
20220101:1410,372.19,446.71,11.27,13.93,3.59,0.0
20220101:1510,157.09,201.2,5.19,13.25,3.17,0.0
20220101:1610,0.0,0.0,0.0,11.83,3.17,0.0
20220101:1710,0.0,0.0,0.0,10.89,3.24,0.0
20220101:1810,0.0,0.0,0.0,10.38,3.31,0.0
20220101:1910,0.0,0.0,0.0,10.19,3.17,0.0
20220101:2010,0.0,0.0,0.0,9.92,3.03,0.0
20220101:2110,0.0,0.0,0.0,9.28,3.03,0.0
20220101:2210,0.0,0.0,0.0,8.85,3.31,0.0
20220101:2310,0.0,0.0,0.0,8.74,3.24,0.0
20220102:0010,0.0,0.0,0.0,9.25,2.97,0.0
20220102:0110,0.0,0.0,0.0,9.48,2.83,0.0
20220102:0210,0.0,0.0,0.0,9.24,3.03,0.0
20220102:0310,0.0,0.0,0.0,9.22,3.38,0.0
20220102:0410,0.0,0.0,0.0,9.54,3.79,0.0
20220102:0510,0.0,0.0,0.0,9.89,3.72,0.0
20220102:0610,0.0,0.0,0.0,10.13,4.0,0.0
20220102:0710,0.0,0.0,0.0,11.47,4.69,0.0
20220102:0810,2.05,10.3,2.53,11.16,4.28,0.0
20220102:0910,358.22,424.15,9.22,11.27,4.14,0.0
20220102:1010,475.83,561.25,14.2,12.29,4.76,0.0
20220102:1110,237.43,287.75,17.07,13.13,4.62,0.0
20220102:1210,126.92,163.77,17.54,13.58,6.48,0.0
20220102:1310,108.72,143.2,15.59,13.77,6.14,0.0
20220102:1410,150.77,190.23,11.39,13.61,6.0,0.0
20220102:1510,13.64,28.78,5.32,13.01,6.21,0.0
20220102:1610,0.0,0.0,0.0,12.75,6.21,0.0
